Location,Year,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
MATAAS NA KAHOY,Year 2,CNN,0.31099412,0.5140938,0.26488212,0.5668276,0.052747153,0.104170814,0.6024683,0.24387705,73.17562406167923,Poor,Low,Low,High
MATAAS NA KAHOY,Year 2,LSTM,0.3006631,0.5418226,0.23062173,0.561735,0.02361557,0.08770912,0.5561097,0.24891517,73.17535367636715,Poor,Low,Low,High
MATAAS NA KAHOY,Year 2,CNN-LSTM,0.30161348,0.5362489,0.2528359,0.64318955,-0.0022657868,0.11812886,0.5979072,0.3149566,73.17585332427053,Poor,Low,Low,High
MATAAS NA KAHOY,Year 3,CNN,0.284002,0.5422096,0.27311367,0.5828533,0.009647317,0.066720225,0.59772426,0.26085615,73.17500893123189,Poor,Low,Low,High
MATAAS NA KAHOY,Year 3,LSTM,0.3020719,0.5428602,0.23790267,0.5651139,0.026888875,0.088720754,0.5706645,0.25181943,73.17537029257778,Poor,Low,Low,High
MATAAS NA KAHOY,Year 3,CNN-LSTM,0.31039736,0.54955083,0.25484285,0.6790107,0.005018946,0.099503025,0.6156843,0.31596813,73.17554739268115,Poor,Low,Low,High
QUILING,Year 1,CNN,0.4146296,0.559262,0.26099655,0.40951973,0.15909466,0.14186928,0.5026671,0.22361244,73.17624326353624,Poor,Low,Low,High
QUILING,Year 1,LSTM,0.38280633,0.549937,0.26577094,0.35838014,0.031564087,0.08336131,0.5295386,0.23691186,73.1752822630628,Poor,Low,Low,High
QUILING,Year 1,CNN-LSTM,0.44116202,0.58559173,0.291572,0.2833978,0.019115685,0.09380423,0.4676597,0.30405432,67.79712128928503,Poor,Low,Low,Moderate
QUILING,Year 2,CNN,0.37807506,0.63645834,0.23611115,0.35555255,0.01666594,0.017751947,0.47854763,0.24541228,69.60658221917778,Poor,Low,Low,Moderate
QUILING,Year 2,LSTM,0.38209426,0.55741704,0.25950053,0.382137,0.040958695,0.07792393,0.5404021,0.24758151,73.17519295343962,Poor,Low,Low,High
QUILING,Year 2,CNN-LSTM,0.39799267,0.5695393,0.27777523,0.36608312,0.011549612,0.11362635,0.50808,0.27414846,73.17577937,Poor,Low,Low,High
QUILING,Year 3,CNN,0.29503328,0.5264823,0.30812863,0.48118073,0.05632043,0.19418196,0.540932,0.23780096,73.17710250562318,Poor,Low,Low,High
QUILING,Year 3,LSTM,0.36853433,0.55529124,0.25811386,0.38929084,0.030213336,0.075723715,0.5364195,0.24181217,73.1751568146425,Poor,Low,Low,High
QUILING,Year 3,CNN-LSTM,0.38347292,0.558503,0.28144956,0.37784943,0.022350969,0.10492394,0.5060718,0.28824577,73.17563643186473,Poor,Low,Low,High
NANGKAAN,Year 1,CNN,0.5235314,0.71144956,0.32255858,0.08889046,0.049004816,0.11834034,0.4013946,0.3760009,56.777350058724636,Poor,Low,Low,Moderate
NANGKAAN,Year 1,LSTM,0.42805588,0.6030205,0.33410317,0.05608504,0.045442812,0.106875636,0.4370068,0.27638626,62.69962544522897,Poor,Low,Low,Moderate
NANGKAAN,Year 1,CNN-LSTM,0.43259418,0.6160327,0.31735727,0.17348322,0.019658355,0.10536472,0.48133707,0.29559973,70.07191726955554,Poor,Low,Low,Moderate
NANGKAAN,Year 2,CNN,0.5324296,0.6786744,0.33215156,0.007589869,0.07320374,0.15126717,0.42754066,0.33782363,61.12609434240581,Poor,Low,Low,Moderate
NANGKAAN,Year 2,LSTM,0.4563284,0.6182023,0.34222722,0.042762674,0.05427867,0.1024446,0.4278699,0.28646785,61.18004646927537,Poor,Low,Low,Moderate
NANGKAAN,Year 2,CNN-LSTM,0.422329,0.6023261,0.3159266,0.15229324,0.012000952,0.11632287,0.4628994,0.2876403,67.00583257371015,Poor,Low,Low,Moderate
NANGKAAN,Year 3,CNN,0.5151751,0.7089997,0.3616448,0.017752413,0.06292913,0.066111736,0.32345775,0.33242553,43.81525518672657,Good,Low,Low,Moderate
NANGKAAN,Year 3,LSTM,0.4740819,0.6242334,0.34674272,0.020084474,0.054723635,0.10108941,0.42039344,0.28516832,59.936656405768126,Poor,Low,Low,Moderate
NANGKAAN,Year 3,CNN-LSTM,0.4408581,0.6090876,0.31247655,0.11420287,0.009811839,0.11884639,0.44432592,0.29096723,63.91702354457003,Poor,Low,Low,Moderate
MANALAW,Year 1,CNN,0.3914919,0.5933123,0.29582494,0.2845264,0.012241687,0.09411576,0.4711428,0.2783337,68.37638108011593,Poor,Low,Low,Moderate
MANALAW,Year 1,LSTM,0.42904606,0.6075936,0.29696828,0.27428138,0.050194412,0.06470594,0.49781355,0.26146582,72.81135970505314,Poor,Low,Low,Moderate
MANALAW,Year 1,CNN-LSTM,0.40277156,0.58916557,0.2716984,0.3666436,0.011676231,0.10300939,0.5169515,0.23392966,73.17560498514976,Poor,Low,Low,High
MANALAW,Year 2,CNN,0.41813326,0.7219166,0.39586654,0.30804163,0.06760975,0.14783986,0.4939585,0.3246068,72.1716136136425,Poor,Low,Low,Moderate
MANALAW,Year 2,LSTM,0.40975606,0.59528625,0.29520476,0.2802712,0.04346919,0.071584955,0.50097334,0.25150186,73.17508883500966,Poor,Low,Low,High
